news,Polarity Score,Subjectivity
WBJEE Result 2024 Live: Applicants who registered for the WBJEE will be required to key in their registration number/ roll number and password to check the scorecard.,0.06818181818181818,0.75
The Mad Max series besides constantly redefining the bar in the action film genre also serves as a provocative reminder of the timeless and universal nature of conflict.,-0.13125,0.35833333333333334
"The choice of words in the INDIA bloc statement on the verdict was interesting as it said the “people’s mandate has given a befitting reply to the BJP and their politics of hate, corruption and deprivation”.",-0.15000000000000002,0.7
"Australia vs Oman Live Score, T20 World Cup 2024: AUS look to get their T20 World Cup off on a positive note against Oman on Thursday. ",0.18181818181818182,0.5227272727272727
Among the prominent turncoats who lost are Jyoti Mirdha from Nagaur in Rajasthan; Kripashankar Singh from Jaunpur in UP; Roy from Kolkata Uttar; Kothapalli Geeta from Araku in Andhra Pradesh; Preneet Kaur from Patiala; and Geeta Koda from Singhbhum in Jharkhand.,0.5,1.0
"Results indicate that BJP has replaced AAP in urban segments, Congress in rural seats of Ludhiana",0.0,0.0
"The seats lost by the party in Ayodhya included Faizabad and Maneka Gandhi’s Sultanpur; among 3 wins in Varanasi, one by ally Apna Dal

",0.3,0.2
"As Assam CM’s aggressive campaign in Jorhat is called into question, Congress’s Gaurav Gogoi, who won from the seat, says Himanta failed to read the pulse of the people.",-0.5,0.3
"Sharvari, next seen in the horror comedy Munjya, said she learnt from Sanjay Leela Bhansali how films and big scale visions are brought to life.",0.0,0.05
"Modi, on his part, assured partners that the NDA will work with greater strength to attain its goal of a Viksit Bharat.",0.5,0.5
"For a series of unforgettable visuals, you need Santosh Sivan, the recipient of this year’s coveted Pierre Angenieux tribute at Cannes.",0.8,1.0
Sunil Dutt recognised that his son Sanjay may not be society's idea of an ideal man but that never stopped him from supporting him.,0.575,0.625
"Hardik Pandya takes three wickets on helpful pitch as all Indian seamers have a field day, bowling out the Irish for 96 for an 8-wicket win",0.4,0.2
"Kirti Azad defeated BJP heavyweight Dilip Ghosh by 1.38 lakh votes in Bardhaman–Durgapur, West Bengal",0.0,0.0
"""We gave tickets to potential winners while trying to resolve the internal problems in the party,"" says Govind Singh Dotasra.",0.0,0.5
The President will invite the parliamentary leader of the party with the most number of seats to form government.,0.5,0.5
"The campaign did take Pathan to streets he hadn’t ventured. He talks about bike rides in the interiors of his rural constituency, and recalls one interaction that he will never forget.",0.0,0.0
"Even as no voices of dissent have been heard in AAP yet, several ruling party leaders are preparing to seek from the seniors that the power, which was lying absolutely with the CM, should be transferred to other stakeholders too.
",0.025000000000000005,0.425
"Of the six Matua-dominated seats in Bengal, the BJP retained two and lost one. In Cooch Behar, sitting MP and Union Minister of State Nisith Praminik lost to TMC candidate Jagdish Chandra Basunia.",0.0,0.0
"They must keep promises, especially on creating job opportunities, that swept them into power",0.0,1.0
"The seats lost were mostly in rural areas but included urban seats like Mumbai North Central and Mumbai North East, where Congress and its allies defeated the BJP.",0.0,0.08333333333333333
"This is not a Nehruvian imposition, as understood by Hindu nationalists. Instead, it captures affirmative action uncertainties, the rise of animosities and polarisation in society, people’s concern about rights and the steeply rising inequalities",0.35,0.5
"Low BP can reduce supply of oxygen and nutrients to your brain and essential organs, says Dr Suranjit Chatterjee, internal medicine expert at Indraprastha Apollo Hospital, Delhi",0.0,0.19999999999999998
"The court also observed that type-2 diabetes, which is not “a serious disease” that would entitle him to interim bail.",0.16666666666666666,0.6666666666666666
"Modi did his best to win the hearts of the people but failed because of his incomprehension of the Tamil ethos. They are believers culturally, but historically secular",0.28,0.22000000000000003
